[9£¬288]:1.300537149864107,[9£¬100]:1.2726017590646297,[9£¬9]:1.2707989642351862,[9£¬127]:1.2479224507582283,[9£¬289]:1.0844452999723273,[9£¬181]:1.0411776545898068,[9£¬523]:0.8738162065680253,[9£¬531]:0.8569291248986447,[9£¬14]:0.8479316639234142,[9£¬222]:0.841972886367408,
[743£¬301]:3.3244789109073283,[743£¬269]:2.584572307255447,[743£¬245]:2.5840823573801384,[743£¬328]:1.7562705659691646,[743£¬327]:1.6531785157065229,[743£¬262]:1.628134224844738,[743£¬874]:1.576377469958076,[743£¬332]:1.3560481583901227,[743£¬880]:1.2695755317514374,[743£¬690]:1.2689267900163161,
[305£¬132]:4.42379385854221,[305£¬702]:3.993753470537262,[305£¬196]:3.9926997779719566,[305£¬4]:3.9926997779719566,[305£¬50]:3.9926997779719566,[305£¬89]:3.9804562633055163,[305£¬198]:3.565977897798534,[305£¬514]:3.560674839638494,[305£¬498]:3.560204371515312,[305£¬87]:3.5528045376888375,
[871£¬344]:2.051405707449409,[871£¬294]:2.0364734907608293,[871£¬321]:2.025759743716694,[871£¬340]:2.0152775301164016,[871£¬327]:1.9967279769661208,[871£¬900]:1.9691421833515301,[871£¬326]:1.7007388308785667,[871£¬748]:1.7007388308785667,[871£¬288]:1.7006579279382623,[871£¬354]:1.6928846007488527,
[574£¬313]:3.74354359543704,[574£¬303]:3.6458509091891154,[574£¬346]:3.165920144658064,[574£¬307]:2.728041091922094,[574£¬326]:2.089818569525437,[574£¬343]:1.713333230032422,[574£¬294]:1.5949484678515542,[574£¬748]:1.5655651315456849,[574£¬678]:1.5556410710315183,[574£¬271]:1.5523790799858874,
[201£¬550]:4.919575334729979,[201£¬655]:4.919575334729979,[201£¬461]:4.443981063833844,[201£¬746]:4.432849082818046,[201£¬91]:4.432849082818046,[201£¬28]:4.42287922418177,[201£¬393]:4.407411022450568,[201£¬24]:3.964262419747962,[201£¬135]:3.9540885434191066,[201£¬183]:3.9508413317547104,
[740£¬245]:2.992112124722218,[740£¬748]:2.9237770700609547,[740£¬303]:2.507196921597522,[740£¬690]:2.506159416705114,[740£¬307]:2.444950856538832,[740£¬321]:1.9927011661699956,[740£¬292]:1.975757415845186,[740£¬879]:1.973616593770313,[740£¬331]:1.9709759721897924,[740£¬268]:1.9620499681537513,
[123£¬286]:2.958941084434276,[123£¬174]:2.6484191290919545,[123£¬654]:2.5905233058607804,[123£¬213]:2.3246834997858987,[123£¬521]:2.317795867825164,[123£¬180]:2.314245690771397,[123£¬170]:2.307963435706864,[123£¬496]:2.2886950564325006,[123£¬478]:2.2864800756486825,[123£¬86]:2.277696363252584,
[18£¬79]:5.123080581482787,[18£¬168]:4.61272336740085,[18£¬211]:4.607097695796917,[18£¬238]:4.607097695796917,[18£¬506]:4.12429442055633,[18£¬7]:4.116593954637296,[18£¬566]:4.104440947634013,[18£¬56]:4.104440947634013,[18£¬659]:4.098611105403511,[18£¬657]:4.096067626992321,
[239£¬199]:4.082201873227466,[239£¬496]:4.082201873227466,[239£¬173]:4.082201873227466,[239£¬170]:4.082201873227466,[239£¬479]:3.6838484547541337,[239£¬197]:3.6838484547541337,[239£¬521]:3.6838484547541337,[239£¬657]:3.6825919269526097,[239£¬480]:3.6820017231023563,[239£¬143]:3.6762950506882555,
[845£¬300]:3.5968864140839605,[845£¬315]:3.2901229888436574,[845£¬344]:2.895400321328852,[845£¬340]:2.849471161097476,[845£¬333]:2.8064320185051868,[845£¬887]:2.494098772639476,[845£¬305]:2.476568622138797,[845£¬307]:2.429239501491061,[845£¬327]:2.3474322796084497,[845£¬301]:2.010407802301006,
[309£¬322]:3.2136496462917887,[309£¬289]:3.1876073607768722,[309£¬328]:2.8202762455322645,[309£¬301]:2.7699133162713085,[309£¬268]:2.494285600729296,[309£¬302]:2.3588999793904235,[309£¬748]:2.232451640011652,[309£¬332]:2.1449478840284044,[309£¬245]:2.019826518309687,[309£¬682]:1.9906678995446698,
[202£¬174]:2.327819651542442,[202£¬357]:1.8153348164029761,[202£¬98]:1.8131570665534529,[202£¬69]:1.8091410466481657,[202£¬168]:1.7739841951376416,[202£¬183]:1.5859242179193376,[202£¬50]:1.53991478801345,[202£¬100]:1.5182905535099738,[202£¬181]:1.3397446679674418,[202£¬180]:1.3118251782016208,
[697£¬333]:3.659281850232861,[697£¬475]:3.659281850232861,[697£¬100]:3.633589668909696,[697£¬508]:3.625948467889643,[697£¬117]:3.61638885514231,[697£¬405]:3.61638885514231,[697£¬678]:3.274744592079454,[697£¬293]:3.256365562403189,[697£¬269]:2.8798005534192788,[697£¬276]:2.8544394202455576,
[721£¬328]:3.301959028021625,[721£¬326]:2.9035375364812843,[721£¬270]:2.4629894641741887,[721£¬260]:2.1735322793374654,[721£¬307]:2.062930279443525,[721£¬340]:1.9256342125251484,[721£¬271]:1.9171299943792712,[721£¬313]:1.8941173313928585,[721£¬100]:1.8869279745450593,[721£¬147]:1.8802781103839676,
[724£¬286]:4.751777093838507,[724£¬340]:3.728380105760351,[724£¬323]:3.690779729923395,[724£¬749]:3.1858726255292975,[724£¬272]:3.177466611433424,[724£¬321]:3.176290004366103,[724£¬270]:3.176290004366103,[724£¬292]:3.1728908087881065,[724£¬347]:3.1596270991089836,[724£¬334]:2.682505584118779,
[1£¬732]:4.631579341179402,[1£¬474]:4.631579341179402,[1£¬229]:4.631579341179402,[1£¬121]:4.182611118666445,[1£¬204]:4.160632914831951,[1£¬655]:4.151904544431435,[1£¬433]:4.151904544431435,[1£¬423]:3.7364756405532296,[1£¬402]:3.732855197463016,[1£¬405]:3.7276747464300515,
[500£¬64]:4.108457791482681,[500£¬742]:3.7184592543118207,[500£¬117]:3.716296217040996,[500£¬176]:3.716296217040996,[500£¬218]:3.7025849056218014,[500£¬651]:3.7025849056218014,[500£¬66]:3.7025849056218014,[500£¬318]:3.691942862304489,[500£¬739]:3.689945880292016,[500£¬14]:3.314723037351622,
[86£¬322]:3.049508170365625,[86£¬294]:2.6907601686985374,[86£¬288]:2.668555789413244,[86£¬748]:2.6261032711456544,[86£¬301]:2.3403889854313684,[86£¬245]:2.2451508901932735,[86£¬302]:1.9229050041479645,[86£¬332]:1.898116272640521,[86£¬688]:1.8900084875909848,[86£¬299]:1.880452485880375,
[14£¬209]:3.2535276937746924,[14£¬237]:2.8838235455551917,[14£¬216]:2.882502739494871,[14£¬153]:2.870234153535636,[14£¬134]:2.860266295361657,[14£¬89]:2.5424210690628075,[14£¬483]:2.5388422471948004,[14£¬179]:2.5388422471948004,[14£¬462]:2.5388422471948004,[14£¬8]:2.5311324048285075,
[279£¬258]:4.324720524655504,[279£¬11]:4.324720524655504,[279£¬1016]:4.324720524655504,[279£¬50]:4.324720524655504,[279£¬252]:4.324720524655504,[279£¬195]:3.908214701246337,[279£¬928]:3.9070361076154976,[279£¬268]:3.9070361076154976,[279£¬91]:3.9070361076154976,[279£¬627]:3.9044483406450965,
[35£¬288]:3.5174519359805667,[35£¬294]:3.4545669449609733,[35£¬302]:2.7091187600403304,[35£¬323]:2.6149394505198185,[35£¬245]:2.6135692817888776,[35£¬682]:2.2472933991024817,[35£¬268]:2.2274709258259526,[35£¬326]:2.18427800688365,[35£¬304]:2.18427800688365,[35£¬331]:2.18427800688365,
[733£¬285]:3.583807423467339,[733£¬275]:3.2176865050514833,[733£¬111]:3.0872243082642643,[733£¬284]:2.7394165575494016,[733£¬15]:2.721720797327661,[733£¬508]:2.694317666615402,[733£¬273]:2.6760044989144087,[733£¬748]:2.6760044989144087,[733£¬475]:2.6750726795186948,[733£¬245]:2.4221946670326684,
[673£¬678]:3.7351792786218243,[673£¬302]:3.7015813819988432,[673£¬751]:3.659410426790578,[673£¬333]:3.1474087029466795,[673£¬245]:3.1371814399171902,[673£¬312]:2.679368838305721,[673£¬748]:2.628045051706451,[673£¬332]:2.617252192477753,[673£¬879]:2.12942412124322,[673£¬304]:2.114657264698839,
[532£¬172]:3.9490500096335692,[532£¬64]:3.9490500096335692,[532£¬258]:3.9490500096335692,[532£¬144]:3.9490500096335692,[532£¬173]:3.9490500096335692,[532£¬405]:3.9490500096335692,[532£¬237]:3.574818891654841,[532£¬748]:3.571536925049395,[532£¬234]:3.5711066253592336,[532£¬294]:3.570435926623955,
[30£¬328]:2.0327139447083344,[30£¬286]:1.963599412918934,[30£¬748]:1.7322319392611019,[30£¬288]:1.6880353442140206,[30£¬304]:1.676091652146436,[30£¬243]:1.4377295587841585,[30£¬323]:1.4036712355276406,[30£¬895]:1.3921171670643777,[30£¬300]:1.1795270959547508,[30£¬271]:1.1679730274914877,
[34£¬300]:3.237797227453661,[34£¬258]:2.4722399751293747,[34£¬323]:2.450165501006217,[34£¬748]:2.102428841456009,[34£¬302]:2.06526238836134,[34£¬269]:1.9784322980266555,[34£¬272]:1.9707533389293097,[34£¬326]:1.9536957111556132,[34£¬322]:1.9452718793116488,[34£¬750]:1.7279076467729215,
[354£¬170]:4.582473843595045,[354£¬143]:4.132601615670718,[354£¬212]:4.096960924633755,[354£¬382]:3.704482296052209,[354£¬482]:3.7000668684047064,[354£¬523]:3.6972649677082035,[354£¬132]:3.6972649677082035,[354£¬423]:3.6972180827547616,[354£¬517]:3.690000754410756,[354£¬28]:3.6794247839924665,
[209£¬275]:2.451243138989721,[209£¬100]:1.895744277020644,[209£¬276]:1.8476746454653827,[209£¬300]:1.8377465398172297,[209£¬302]:1.764507721782474,[209£¬137]:1.5254995727075062,[209£¬124]:1.523912420145427,[209£¬327]:1.5135980930748523,[209£¬268]:1.4659146829420129,[209£¬303]:1.4256693336759216,
[196£¬100]:2.55222735003359,[196£¬204]:1.8248130489561605,[196£¬275]:1.776759816370574,[196£¬168]:1.5989543636040406,[196£¬50]:1.5052669311101965,[196£¬14]:1.431367768879622,[196£¬732]:1.3606554980895882,[196£¬88]:1.3606554980895882,[196£¬4]:1.3606554980895882,[196£¬210]:1.3537329602298027,
[173£¬288]:4.218535775146486,[173£¬340]:3.1506322037704244,[173£¬304]:3.1110933838125368,[173£¬688]:2.684232600543322,[173£¬327]:2.6809713561228405,[173£¬307]:2.2575463806272094,[173£¬748]:2.184720167699752,[173£¬989]:2.1337158334990516,[173£¬271]:2.0194558487216883,[173£¬270]:1.6911525203033784,
[439£¬127]:2.884619280346964,[439£¬25]:2.827914693252178,[439£¬50]:2.7799783207745286,[439£¬150]:2.5393845171211566,[439£¬181]:2.531766321423971,[439£¬111]:2.490334904224289,[439£¬117]:2.4264249301812546,[439£¬124]:2.181393056708094,[439£¬294]:2.1470394913190747,[439£¬235]:2.1429099462572774,
[617£¬219]:2.7479019436435395,[617£¬5]:2.7103900120706306,[617£¬100]:2.699279398148983,[617£¬444]:2.2930909984623598,[617£¬551]:2.2107873488650944,[617£¬183]:1.9044969000148066,[617£¬379]:1.8904139767933203,[617£¬258]:1.8723415907141474,[617£¬50]:1.8386545183940557,[617£¬564]:1.8205821323148825,
[592£¬25]:4.1148219595160755,[592£¬273]:4.103664770367867,[592£¬258]:4.100682557881943,[592£¬238]:3.6711291880447634,[592£¬300]:3.643345372101784,[592£¬509]:3.2033384747150873,[592£¬321]:3.200887240276816,[592£¬527]:2.771093050845633,[592£¬529]:2.759935861697424,[592£¬143]:2.758245815169355,
[331£¬173]:2.77431302742314,[331£¬79]:2.77431302742314,[331£¬56]:2.77431302742314,[331£¬70]:2.77431302742314,[331£¬98]:2.5095785173858722,[331£¬50]:2.4986615848824516,[331£¬203]:2.4934371509300965,[331£¬134]:2.4847256461630143,[331£¬318]:2.4818306272033417,[331£¬127]:2.4805977627254783,
[205£¬286]:3.3554605447443446,[205£¬258]:3.3252757773585366,[205£¬328]:2.125115547899675,[205£¬245]:2.093109886185294,[205£¬272]:1.6918976664358056,[205£¬313]:1.6918976664358056,[205£¬288]:1.6703336344989188,[205£¬321]:1.6561543626091058,[205£¬307]:1.2851269102454257,[205£¬259]:1.2546768283356227,
[594£¬9]:2.8529061527587336,[594£¬275]:2.1801745795307603,[594£¬300]:2.0860965298083056,[594£¬50]:2.080338215162881,[594£¬117]:2.0771962262594377,[594£¬137]:1.8128933544842538,[594£¬7]:1.7379959636094537,[594£¬258]:1.7228003389717361,[594£¬1]:1.7213565933254167,[594£¬285]:1.5021048200458333,
[628£¬286]:3.1306013844634943,[628£¬322]:2.783516420547129,[628£¬328]:2.412583564111941,[628£¬323]:1.9796643258554452,[628£¬289]:1.9738695557683075,[628£¬245]:1.9688328406231315,[628£¬879]:1.9688328406231315,[628£¬307]:1.9661127234321916,[628£¬294]:1.9467726770374847,[628£¬327]:1.9269393898827207,
[249£¬173]:4.279643344723707,[249£¬7]:3.8665544518426667,[249£¬204]:3.8665544518426667,[249£¬195]:3.8601332866586686,[249£¬268]:3.4391359580119194,[249£¬475]:3.4391359580119194,[249£¬127]:3.4302354496325025,[249£¬8]:3.430211114543247,[249£¬176]:3.42017973269084,[249£¬288]:3.419020897039802,
[6£¬663]:4.745354925966543,[6£¬705]:4.745354925966543,[6£¬514]:4.289400172902047,[6£¬215]:4.289400172902047,[6£¬430]:4.276054473186283,[6£¬97]:3.8373846716819924,[6£¬48]:3.8304529152528075,[6£¬210]:3.820099720121787,[6£¬414]:3.8097924515519495,[6£¬285]:3.806927265583476,
[206£¬286]:3.1385129923047663,[206£¬344]:2.8238473494565057,[206£¬258]:2.8116373551742346,[206£¬328]:2.8084328610835536,[206£¬268]:2.7951101265352096,[206£¬294]:2.788804352320527,[206£¬751]:2.7760892774205863,[206£¬289]:2.421831394310633,[206£¬307]:2.391133828924581,[206£¬877]:2.3816232481153214,
[566£¬566]:3.733812105119379,[566£¬483]:3.729964528130416,[566£¬132]:3.7263911124212767,[566£¬79]:3.3296387984121982,[566£¬568]:3.32755149613427,[566£¬216]:3.32129536558781,[566£¬194]:3.3097789293997133,[566£¬227]:3.3097789293997133,[566£¬739]:3.3062055136905735,[566£¬357]:3.3062055136905735,
[568£¬174]:3.290211122682609,[568£¬133]:2.977439501596997,[568£¬482]:2.977439501596997,[568£¬705]:2.973867797456353,[568£¬98]:2.956724638257651,[568£¬496]:2.6630061815477353,[568£¬654]:2.6610961763707413,[568£¬23]:2.657232147588349,[568£¬493]:2.625939681465999,[568£¬489]:2.624277982502349,
[861£¬166]:2.3194689802899804,[861£¬165]:2.0219713429883504,[861£¬198]:2.0045576578625997,[861£¬971]:1.9293084378575998,[861£¬59]:1.9112677514551264,[861£¬60]:1.9112677514551264,[861£¬70]:1.9026234133052935,[861£¬512]:1.820283620764709,[861£¬923]:1.7480457522529906,[861£¬640]:1.724957965454615,
[451£¬300]:4.868844944843381,[451£¬303]:3.2763578160974345,[451£¬259]:2.7882597931478115,[451£¬887]:2.7299669516541427,[451£¬340]:2.726334784480828,[451£¬271]:2.682740702989912,[451£¬319]:2.296264112355139,[451£¬1265]:2.296264112355139,[451£¬313]:2.22878164558046,[451£¬995]:2.197459547413951,
[597£¬258]:2.729229989890952,[597£¬257]:2.6857884989225886,[597£¬471]:2.678551882991234,[597£¬117]:2.6703772540771515,[597£¬282]:2.3724831752920252,[597£¬288]:2.3648804351569206,[597£¬222]:2.346905777697512,[597£¬7]:1.997521255971598,[597£¬237]:1.9434718271384914,[597£¬100]:1.9143739275037597,
[639£¬529]:3.9524150951009536,[639£¬496]:3.5851469591635,[639£¬197]:3.585066182732635,[639£¬216]:3.576475704640349,[639£¬485]:3.5664762172723563,[639£¬134]:3.5583033038236485,[639£¬64]:3.502542867176627,[639£¬956]:3.210858219689684,[639£¬50]:3.210858219689684,[639£¬151]:3.2105989763148015,
[21£¬559]:3.12508878519278,[21£¬185]:2.691720895502805,[21£¬447]:2.671943986309351,[21£¬217]:2.3822705900510623,[21£¬665]:2.3648376764645134,[21£¬333]:1.9540142809932486,[21£¬302]:1.931286276271511,[21£¬183]:1.5953000054915218,[21£¬682]:1.5329653423803968,[21£¬176]:1.2052934715083834,
[641£¬479]:2.289824510243617,[641£¬185]:2.270999662190727,[641£¬197]:2.0387675215095102,[641£¬9]:2.0374672029859986,[641£¬318]:2.0266493125663545,[641£¬135]:2.0186423549331085,[641£¬521]:1.7938756657569308,[641£¬482]:1.779312881144485,[641£¬56]:1.7617097939813045,[641£¬168]:1.7610812567481429,
[154£¬56]:2.6522381796850367,[154£¬98]:2.3768937838080695,[154£¬180]:2.3610892145020657,[154£¬134]:2.345782970039434,[154£¬483]:2.313031401882319,[154£¬12]:2.0637382057105413,[154£¬168]:2.0630011752067,[154£¬183]:2.06043064942375,[154£¬22]:2.059137869187515,[154£¬64]:2.0496075764804638,
[695£¬258]:3.5896742923044207,[695£¬332]:3.139163658837454,[695£¬895]:2.6830894338405322,[695£¬750]:2.682496519541649,[695£¬271]:2.271776387149622,[695£¬269]:2.2626054146764663,[695£¬294]:2.2626054146764663,[695£¬326]:2.211715985420507,[695£¬245]:2.1978062548746498,[695£¬305]:1.8362039819652454,
[680£¬181]:2.8695868716426967,[680£¬237]:2.163496243328825,[680£¬127]:2.0826969047875705,[680£¬282]:1.785691417411412,[680£¬405]:1.7819976161709903,[680£¬151]:1.7666244211369193,[680£¬471]:1.7634539198521844,[680£¬475]:1.7486789479059062,[680£¬129]:1.7388195952195065,[680£¬742]:1.5067063255267215,
[461£¬286]:2.424224302820665,[461£¬315]:2.1460168607833365,[461£¬313]:1.8606860156105103,[461£¬272]:1.587753401940406,[461£¬269]:1.499684142025818,[461£¬328]:1.2936357548815824,[461£¬270]:1.2539044714956116,[461£¬288]:1.2379942664741166,[461£¬340]:1.207415069735268,[461£¬300]:1.1944106132503474,
[866£¬286]:3.4605210441108505,[866£¬340]:3.405434261814686,[866£¬258]:3.395857513679946,[866£¬333]:2.943156268250513,[866£¬750]:2.867381637061962,[866£¬288]:2.8594286197257244,[866£¬310]:2.8336652620244474,[866£¬301]:2.436086704539033,[866£¬268]:2.3683791248539228,[866£¬262]:2.3683791248539228,
[271£¬357]:4.994295930294045,[271£¬172]:4.501654525713752,[271£¬15]:4.501654525713752,[271£¬234]:4.501654525713752,[271£¬195]:4.499466602331919,[271£¬708]:4.4991518515940205,[271£¬143]:4.498802622671676,[271£¬230]:4.483938716212107,[271£¬168]:4.483938716212107,[271£¬82]:4.468568130888741,
[523£¬70]:2.8514586982656978,[523£¬216]:2.570148061056738,[523£¬100]:2.56775078081212,[523£¬151]:2.2921737235446793,[523£¬19]:2.2904665068604215,[523£¬692]:2.0230873327104884,[523£¬98]:2.0184857921185966,[523£¬152]:2.0156296673505922,[523£¬175]:2.0127353434429587,[523£¬88]:2.012685189245707,
[408£¬316]:4.218284247309093,[408£¬300]:3.6418446131852638,[408£¬343]:2.823702134319152,[408£¬333]:2.4989890212817967,[408£¬307]:1.9065288204743358,[408£¬269]:1.904881542479092,[408£¬331]:1.8188411090712633,[408£¬326]:1.7959310591849875,[408£¬750]:1.7942837811897436,[408£¬264]:1.5557806395953238,
[655£¬230]:4.215610107212234,[655£¬549]:4.209770193979211,[655£¬99]:4.2018169180668705,[655£¬173]:4.18590469675717,[655£¬419]:4.172666455076423,[655£¬228]:3.7547426911437185,[655£¬527]:3.7547426911437185,[655£¬588]:3.7478311581642307,[655£¬79]:3.721062037976824,[655£¬663]:3.715090666154938,
[485£¬286]:3.3710051241362677,[485£¬300]:2.9522872294569558,[485£¬340]:2.6345618183202566,[485£¬258]:2.6022963590023505,[485£¬315]:2.163363717110058,[485£¬332]:2.158950313945811,[485£¬272]:2.1156326676062176,[485£¬311]:1.724628672850352,[485£¬322]:1.6979372740787033,[485£¬327]:1.6506793580867312,
[863£¬269]:4.2503768542396605,[863£¬323]:3.6617439740475817,[863£¬259]:3.192266765273911,[863£¬305]:3.178210156207875,[863£¬332]:3.146976508342643,[863£¬678]:2.7033861533842223,[863£¬316]:2.6682397497380963,[863£¬245]:2.652485146060497,[863£¬351]:2.6504110964709744,[863£¬260]:2.5860807916102155,
[520£¬288]:1.9779215040359328,[520£¬310]:1.6445825880347578,[520£¬272]:1.6242563880126588,[520£¬313]:1.6242563880126588,[520£¬332]:1.3399429688005784,[520£¬333]:1.3298914391395276,[520£¬316]:1.327788771197725,[520£¬258]:1.314718671754931,[520£¬326]:1.309523274698927,[520£¬302]:1.2902244798288667,
[533£¬7]:4.392916827026449,[533£¬294]:4.365476625790182,[533£¬559]:3.9218830981770707,[533£¬238]:3.915815381533333,[533£¬729]:3.915815381533333,[533£¬235]:3.9151055963462116,[533£¬79]:3.9119004953204315,[533£¬200]:3.904145367827437,[533£¬732]:3.8944428969408036,[533£¬692]:3.8867312845772246,
[486£¬258]:3.673250437842053,[486£¬294]:3.260730348355994,[486£¬14]:3.22299865500895,[486£¬340]:3.2030119132738806,[486£¬222]:3.1539259504128827,[486£¬126]:2.7904658711143915,[486£¬455]:2.7873187054230097,[486£¬1]:2.7703817124004906,[486£¬282]:2.751035941779392,[486£¬9]:2.743710175801092,
[537£¬660]:5.3571940828656865,[537£¬69]:4.840930427648043,[537£¬210]:4.839046785837325,[537£¬474]:4.82704669093052,[537£¬692]:4.807481658270715,[537£¬131]:4.320962424694501,[537£¬161]:4.318489132903798,[537£¬393]:4.273377073320653,[537£¬23]:4.271556367395472,[537£¬530]:4.259823729948215,
[195£¬1]:2.3279661256370705,[195£¬121]:2.3279661256370705,[195£¬79]:2.3279661256370705,[195£¬405]:2.3279661256370705,[195£¬172]:2.1101693451519816,[195£¬195]:2.1101693451519816,[195£¬96]:2.1101693451519816,[195£¬7]:2.0981334263378617,[195£¬288]:2.0981334263378617,[195£¬176]:2.0981334263378617,
[207£¬143]:3.880504254193041,[207£¬405]:3.880504254193041,[207£¬1]:3.879663074595658,[207£¬22]:3.879663074595658,[207£¬176]:3.8750334087205616,[207£¬181]:3.8750334087205616,[207£¬228]:3.4548807969650035,[207£¬230]:3.4548807969650035,[207£¬222]:3.4548807969650035,[207£¬234]:3.4548807969650035,
[624£¬282]:3.865805264216637,[624£¬273]:3.842732754691955,[624£¬331]:3.4094659566687993,[624£¬628]:3.342917178429613,[624£¬268]:2.901676576853259,[624£¬324]:2.901676576853259,[624£¬257]:2.8945741026866054,[624£¬9]:2.852098434082115,[624£¬476]:2.834788834539048,[624£¬222]:2.832810293641744,
[417£¬63]:5.254533073529712,[417£¬174]:4.74033833596188,[417£¬71]:4.7360070771457305,[417£¬204]:4.733812295701943,[417£¬432]:4.731161864965776,[417£¬38]:4.731161864965776,[417£¬423]:4.722799444296891,[417£¬28]:4.716843700613095,[417£¬227]:4.699460794906878,[417£¬53]:4.221856852821939,
[440£¬302]:3.141359846684792,[440£¬288]:2.2299036922661344,[440£¬315]:2.226080149910229,[440£¬286]:2.207511466261801,[440£¬269]:2.1537634158161834,[440£¬270]:1.8986907832406863,[440£¬347]:1.6148176837306822,[440£¬316]:1.602819148609267,[440£¬327]:1.6028000946585625,[440£¬344]:1.544749044555958,
[753£¬50]:3.513751363890471,[753£¬127]:2.817841891954844,[753£¬480]:2.8105342382500225,[753£¬176]:2.462620896930983,[753£¬482]:2.146494049543844,[753£¬97]:2.1411064045133754,[753£¬511]:2.1209557595237976,[753£¬603]:2.1184749113898436,[753£¬474]:2.1175855674266817,[753£¬210]:2.114624766314395,
[428£¬258]:4.123043757660461,[428£¬304]:4.12199427216852,[428£¬328]:4.12199427216852,[428£¬331]:3.5526118404976534,[428£¬327]:3.115166112274054,[428£¬895]:3.10714940875356,[428£¬689]:2.6153771891024697,[428£¬678]:2.602486465085751,[428£¬682]:2.5976247433884923,[428£¬303]:2.5465020997859704,
[2£¬333]:2.4977700232458115,[2£¬744]:2.4595318575806733,[2£¬297]:2.1166375732360567,[2£¬117]:2.030871026911832,[2£¬285]:1.993252358574525,[2£¬9]:1.9657579846218831,[2£¬15]:1.9657579846218831,[2£¬750]:1.7051096497427636,[2£¬283]:1.6931202737106115,[2£¬245]:1.6753124082953148,
[460£¬100]:3.8503806569231136,[460£¬237]:2.372067080874717,[460£¬124]:2.3340928278159847,[460£¬9]:2.316700914832834,[460£¬269]:2.2494527560047786,[460£¬50]:2.2395319787342762,[460£¬126]:1.9347631314272875,[460£¬515]:1.9245060579792326,[460£¬300]:1.8831766339208387,[460£¬813]:1.8212775960735732,
